"COU","Country","SEX","Sex","IND","Indicator","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LTU","Lithuania","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2005","2005","PC","Percentage","0","Units",,,58.7,,
"LTU","Lithuania","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2010","2010","PC","Percentage","0","Units",,,72.3,,
"LTU","Lithuania","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2011","2011","PC","Percentage","0","Units",,,73.4,,
"LTU","Lithuania","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2012","2012","PC","Percentage","0","Units",,,74.4,,
"LTU","Lithuania","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2013","2013","PC","Percentage","0","Units",,,79.4,,
"LTU","Lithuania","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2014","2014","PC","Percentage","0","Units",,,82.6,,
"LTU","Lithuania","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2015","2015","PC","Percentage","0","Units",,,83.8,,
"LTU","Lithuania","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2016","2016","PC","Percentage","0","Units",,,84.3,,
"LTU","Lithuania","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2017","2017","PC","Percentage","0","Units",,,85,,
"LTU","Lithuania","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2018","2018","PC","Percentage","0","Units",,,86.2,,
"CYP","Cyprus","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2013","2013","PC","Percentage","0","Units",,,70.1,,
"CYP","Cyprus","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2014","2014","PC","Percentage","0","Units",,,68.6,,
"CYP","Cyprus","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2015","2015","PC","Percentage","0","Units",,,80.8,,
"CYP","Cyprus","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2016","2016","PC","Percentage","0","Units",,,82.3,,
"CYP","Cyprus","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2017","2017","PC","Percentage","0","Units",,,86.1,,
"CYP","Cyprus","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2018","2018","PC","Percentage","0","Units",,,87.8,,
"NZL","New Zealand","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2015","2015","PC","Percentage","0","Units",,,93.8,,
"NZL","New Zealand","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2016","2016","PC","Percentage","0","Units",,,93.2,,
"NZL","New Zealand","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2017","2017","PC","Percentage","0","Units",,,94.6,,
"GBR","United Kingdom","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2005","2005","PC","Percentage","0","Units",,,90.2,,
"GBR","United Kingdom","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2010","2010","PC","Percentage","0","Units",,,92.3,,
"GBR","United Kingdom","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2011","2011","PC","Percentage","0","Units",,,92.8,,
"GBR","United Kingdom","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2012","2012","PC","Percentage","0","Units",,,95.4,,
"GBR","United Kingdom","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2013","2013","PC","Percentage","0","Units",,,96.6,,
"GBR","United Kingdom","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2014","2014","PC","Percentage","0","Units",,,93.3,,
"GBR","United Kingdom","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2015","2015","PC","Percentage","0","Units",,,100,,
"GBR","United Kingdom","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2017","2017","PC","Percentage","0","Units",,,100,,
"GBR","United Kingdom","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2018","2018","PC","Percentage","0","Units",,,100,,
"ITA","Italy","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2013","2013","PC","Percentage","0","Units",,,97.3,,
"ITA","Italy","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2014","2014","PC","Percentage","0","Units",,,95.1,,
"ITA","Italy","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2015","2015","PC","Percentage","0","Units",,,94.9,,
"ITA","Italy","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2016","2016","PC","Percentage","0","Units",,,94.9,,
"ITA","Italy","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2017","2017","PC","Percentage","0","Units",,,93.9,,
"ITA","Italy","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2018","2018","PC","Percentage","0","Units",,,93.6,,
"ISR","Israel","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2005","2005","PC","Percentage","0","Units",,,80,,
"ISR","Israel","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2010","2010","PC","Percentage","0","Units",,,85.6,,
"ISR","Israel","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2011","2011","PC","Percentage","0","Units",,,90,,
"ISR","Israel","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2012","2012","PC","Percentage","0","Units",,,89.1,,
"ISR","Israel","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2013","2013","PC","Percentage","0","Units",,,100,,
"ISR","Israel","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2014","2014","PC","Percentage","0","Units",,,97.8,,
"ISR","Israel","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2015","2015","PC","Percentage","0","Units",,,99.2,,
"ISR","Israel","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2016","2016","PC","Percentage","0","Units",,,99.3,,
"ISR","Israel","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2017","2017","PC","Percentage","0","Units",,,99.4,,
"ISR","Israel","TOTAL","Total","FAM14","Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school","2018","2018","PC","Percentage","0","Units",,,100,,
